ID code,Date,Time
642001589801620,10/5/2021,7:07:52 PM
642021578313925,10/5/2021,7:09:59 PM
642001573814713,10/5/2021,7:10:15 PM
642001567850973,10/5/2021,7:10:26 PM
642001603639806,10/5/2021,7:11:07 PM
642011583620881,10/5/2021,7:11:44 PM
642001567851036,10/5/2021,7:12:36 PM
642001568918364,10/5/2021,7:12:47 PM
642011583620904,10/5/2021,7:12:58 PM
642021578314135,10/5/2021,7:13:42 PM
642001567851005,10/5/2021,7:13:52 PM
642001603639810,10/5/2021,7:13:59 PM
642001573814642,10/5/2021,7:14:07 PM
642001560523961,10/5/2021,7:14:12 PM
642001573814656,10/5/2021,7:14:30 PM
642001567699889,10/5/2021,7:14:41 PM
642001567079001,10/5/2021,7:14:50 PM
642001603639817,10/5/2021,7:15:00 PM
642021591684280,10/5/2021,7:15:05 PM
642001573814644,10/5/2021,7:15:14 PM
642001589801589,10/5/2021,7:15:22 PM
642001598488591,10/5/2021,7:15:30 PM
642001591684258,10/5/2021,7:15:40 PM
642001603639815,10/5/2021,7:15:52 PM
642001591684276,10/5/2021,7:16:00 PM
642021591684286,10/5/2021,7:16:08 PM
642001603639809,10/5/2021,7:16:13 PM
642001591283122,10/5/2021,7:16:20 PM
642001567850974,10/5/2021,7:16:28 PM
642001603639831,10/5/2021,7:16:38 PM
642001567851034,10/5/2021,7:16:51 PM
642001591283114,10/5/2021,7:16:59 PM
642001591283101,10/5/2021,7:17:07 PM
642001594914856,10/5/2021,7:17:15 PM
642001591283105,10/5/2021,7:17:20 PM
642001598488603,10/5/2021,7:17:29 PM
642001598488612,10/5/2021,7:17:57 PM
642011583620917,10/5/2021,7:19:02 PM
642001600691481,10/5/2021,7:20:18 PM
642021573814674,10/5/2021,7:20:22 PM
642001603639820,10/5/2021,7:20:33 PM
642001592760151,10/5/2021,7:20:41 PM
642001559796760,10/5/2021,7:20:47 PM
642001603639816,10/5/2021,7:20:56 PM
642001569400280,10/5/2021,7:21:04 PM
642001573814701,10/5/2021,7:21:11 PM
642001603639818,10/5/2021,7:21:16 PM
642001569400267,10/5/2021,7:21:33 PM
642001567079013,10/5/2021,7:21:44 PM
642001573814707,10/5/2021,7:22:30 PM
642001591283124,10/5/2021,7:22:37 PM
642011583620911,10/5/2021,7:23:31 PM
642001589801591,10/5/2021,7:23:46 PM
642001567850970,10/5/2021,7:23:51 PM
642001569400294,10/5/2021,7:24:02 PM
642001594915108,10/5/2021,7:24:06 PM
642001591684270,10/5/2021,7:24:11 PM
642001559796746,10/5/2021,7:24:38 PM
642001589801585,10/5/2021,7:24:49 PM
642001591684279,10/5/2021,7:24:57 PM
642001578314129,10/5/2021,7:25:23 PM
642001591283109,10/5/2021,7:25:32 PM
642001603639823,10/5/2021,7:25:41 PM
642011583620895,10/5/2021,7:25:50 PM
642001603639822,10/5/2021,7:26:26 PM
642001573814688,10/5/2021,7:26:35 PM
642021567078905,10/5/2021,7:26:44 PM
642001573814694,10/5/2021,7:26:51 PM
642021578313911,10/5/2021,7:27:02 PM
642001567851019,10/5/2021,7:27:08 PM
642001592760152,10/5/2021,7:27:15 PM
642011583620909,10/5/2021,7:27:25 PM
642001591283104,10/5/2021,7:28:02 PM
642001589801611,10/5/2021,7:28:15 PM
642001598488583,10/5/2021,7:28:20 PM
642001559873523,10/5/2021,7:28:27 PM
642001598488624,10/5/2021,7:28:33 PM
642001573814659,10/5/2021,7:28:38 PM
642001567851017,10/5/2021,7:28:45 PM
642011583620955,10/5/2021,7:28:54 PM
642001573814650,10/5/2021,7:29:26 PM
642001567850961,10/5/2021,7:29:59 PM
642001578313916,10/5/2021,7:30:07 PM
642001603639827,10/5/2021,7:30:15 PM
642001591684278,10/5/2021,7:30:22 PM
642001591283129,10/5/2021,7:30:28 PM
642001567850999,10/5/2021,7:30:32 PM
642001592760155,10/5/2021,7:30:38 PM
642001573814710,10/5/2021,7:30:46 PM
642001589801612,10/5/2021,7:30:52 PM
642001578314140,10/5/2021,7:30:58 PM
642001568918391,10/5/2021,7:31:04 PM
642011583620959,10/5/2021,7:31:10 PM
642001591684269,10/5/2021,7:31:49 PM
642001573814714,10/5/2021,7:32:01 PM
642001598488595,10/5/2021,7:32:33 PM
642001599309895,10/5/2021,7:32:42 PM
642001578314131,10/5/2021,7:32:49 PM
642001573814704,10/5/2021,7:32:56 PM
642001591282879,10/5/2021,7:33:29 PM
